Carrera,Tipo,Codigo,Asignatura,Titulo,Creditos,Horas,Correlativas,Aprobados
10,0,6103,Análisis Matemático II A,An&#225;lisis\nMatem&#225;tico I,8,128,CBC,
10,0,6201,Física I A,F&#237;sica I,8,128,CBC,
10,0,7540,Algoritmos y Programación I,Algoritmos\nProgramaci&#243;n I,6,96,CBC,

10,0,6108,Algebra II A,Algebra II,8,128,CBC,
10,0,6203,Física II A,F&#237;sica II,8,128,"6103,6201",
10,0,6301,Química,Qu&#237;mica,6,96,CBC,
10,0,7541,Algoritmos y Programación II,Algoritmos\nProgramaci&#243;n II,6,96,7540,

10,0,6215,Física III D,F&#237;sica III,4,64,"6108,6203,6301",
10,0,6602,Laboratorio,Laboratorio,6,96,6203,
10,0,6670,Estructura del Computador,Estructura\nComputador,6,96,"6108,6203,7541",
10,0,7507,Algoritmos y Programación III,Algoritmos\nProgramaci&#243;n III,6,96,7541,
10,0,7512,Análisis Numérico I,An&#225;lisis\nNum&#233;rico I,6,96,"6103,6108,7541",

10,0,6109,Probabilidad y Estadística B,Probabilidad\nEstad&#237;stica B,6,96,"6103,6108",
10,0,6110,Análisis Matemático III A,An&#225;lisis\nMatem&#225;tico III,6,96,"6103,6108",
10,0,6620,Organización de Computadoras,Organizaci&#243;n\nComputadoras,6,96,"6602,6670",
10,0,7506,Organización de Datos,Organizaci&#243;n\nDatos,6,96,"6670,7541",
10,0,7542,Taller de Programación I,Taller de\nProgramaci&#243;n I,4,64,"6670,7512,7541",

10,0,7112,Estructura de las Organizaciones,Estructura\nOrganizaciones,6,96,7506,
10,0,7114,Modelos y Optimización I,Modelos\nOptimizaci&#243;n I,6,96,"6110,6203,6301,7542",
10,0,7508,Sistemas Operativos,Sistemas\nOperativos,6,96,7506,
10,0,7509,Análisis de la Información,An&#225;lisis\nInformaci&#243;n,6,96,"7507,7542",

10,0,7510,Técnicas de Diseño,T&#233;cnicas\nDise&#241;o,6,96,"7508,7509",
10,0,7515,Base de Datos,Base de Datos,6,96,"7506,7509",
10,0,7543,Introducción a los Sistemas Distribuidos,Intro Sis\nDistribuidos,6,96,"6620,6215,7508",
10,0,7552,Taller de Programación II,Taller de\nProgramaci&#243;n II,4,64,"7114,7507,7542",

10,1,7113,Información en las Organizaciones,Informaci&#243;n en\nOrganizaciones,6,96,7112,
10,1,7544,Administración y Control de Proyectos Informáticos I,Adm y Ctrl de\nProyectos Inf I,6,96,"7112,7510",
10,1,7545,Taller de Desarrollo de Proyectos I,Taller Desarrollo\nProyectos I,6,96,7510,
10,1,7546,Administración y Control de Proyectos Informáticos II,Adm y Ctrl de\nProyectos Inf II,6,96,7544,
10,1,7547,Taller de Desarrollo de Proyectos II,Taller Desarrollo\nProyectos II,6,96,"7544,7545",
10,1,7548,Calidad en Desarrollo de Sistemas,Calidad Desarrollo\nSistemas,4,64,7545,

10,2,6606,Análisis de Circuitos,An&#225;lisis\n de Circuitos,10,160,"6110,6203",
10,2,7559,Técnicas de Programación Concurrente I,T&#233;cnicas de \nProgramaci&#243;n\nConcurrente I,6,96,7508,
10,2,6674,Señales y Sistemas,Se&#241;ales y\nSistemas,6,96,"6109,6606",
10,2,7574,Sistemas Distribuidos I,Sistemas\nDistribuidos I,6,96,"6110,7543,7559",
10,2,7561,Taller de Programación III,Taller de\nProgramaci&#243;n III,6,96,"6674,7574",

10,3,6405,Estática y Resistencia de Materiales B,Est&#225;tica y\nResistencia\nde\nMateriales,6,96,"6103,6108",
10,3,7565,Manufactura Integrada por Computadora (CIM) I,Manufactura\nIntegrada\npor\nComputadora\nI,6,96,"7515,7552",
10,3,7567,Sistemas Automáticos de Diagnóstico y Detección Fallas I,Sis Autom&#225;ticos\nde Diagn&#243;stico\ny Detecci&#243;n\nFallas I,6,96,7114,
10,3,7201,Materiales Industriales I,Materiales\nIndustriales\nI,6,96,"6301,6405",
10,3,7566,Manufactura Integrada por Computadora (CIM) II,Manufactura\nIntegrada\npor\nComputadora\nII,6,96,"7565",
10,3,7568,Sistemas de Soporte para Celdas Producción Flexible,Sistemas\nde Soporte\npara Celdas\nProducci&#243;n\nFlexible,4,64,"7565,7567",

10,0,7140,Legislación y Ejercicio Profesional de la Ingeniería en Informática,Legis y Ejercicio\nProfesional,4,64,,140
10,0,7500,Tesis,Tesis,24,384,,140
10,0,7599,Trabajo Profesional,Trabajo\nProfesional,12,192,,140

10,4,6107,Matemática Discreta,Matem&#225;tica\nDiscreta,6,96,CBC,
10,4,6118,Ecuaciones Diferenciales Ordinarias,Ecuaciones\nDiferenciales,6,96,"6103,6108",
10,4,6119,Análisis Funcional,An&#225;lisis\nFuncional,6,96,6110,
10,4,6211,Mecánica Racional,Mec&#225;nica\nRacional,4,64,"6110,6201",
10,4,6608,Circuitos Electrónicos I,Circuitos\nElectr&#243;nicos,8,128,"6215,6602,6606",
10,4,6609,Laboratorio de Microcomputadoras,Laboratorio\nMicrocomputadoras,6,96,"6602,6670",
10,4,6617,Sistemas Digitales,Sistemas\nDigitales,6,96,6670,
10,4,6618,Teoría de Control I,Teor&#237;a\nControl I,6,96,6674,
10,4,6619,Circuitos de Pulsos,Circuitos\nde Pulsos,6,96,"6608,6670",
10,4,6624,Teoría de la Información y Codificacion,Teor&#237;a\nInfo y Cod,4,64,"6674,6675,6670",
10,4,6626,Arquitecturas Paralelas,Arquitecturas\nParalelas,6,96,6620,
10,4,6632,Robótica,Rob&#243;tica,6,96,"6211,6618",
10,4,6635,Técnica Digital Avanzada,T&#233;cnica Dig\nAvanzada,6,96,"6107,6617",
10,4,6646,Procesamiento del Habla,Procesamiento\n del Habla,6,96,6674,
10,4,6647,Procesamiento de Imágenes,Procesamiento\n de Im&#225;genes,6,96,"6109,6674",
10,4,6649,Sistemas Biológicos,Sistemas\nBiol&#243;gicos,6,96,"6674,6301",
10,4,6655,Simulación de Sistemas de Control,Simulaci&#243;n\nSis de Ctrl,4,64,6618,
10,4,6663,Redes Neuronales,Redes\nNeuronales,6,96,"6674,6675",
10,4,6669,Criptografía y Seguridad Informática,Cripto y Seg\nInform&#225;tica,6,96,7543,
10,4,6671,Sistemas Gráficos,Sistemas\nGr&#225;ficos,6,96,"6110,7541",
10,4,6675,Procesos Estocásticos,Procesos\nEstoc&#225;sticos,6,96,"6103,6109",
10,4,6761,Fundamentos Matemáticos de la Visión en Robótica,Fund Matem&#225;ticos\nVisi&#243;n Rob&#243;tica,6,96,"6108,7507",
10,4,7115,Modelos y Optimización II,Modelos\nOptimizaci&#243;n II,6,96,"6109,7114",
10,4,7118,Estructura Económica Argentina,Estructura Eco\nArgentina,4,64,CBC,
10,4,7120,Modelos y Optimización III,Modelos\nOptimizaci&#243;n III,6,96,7115,
10,4,7141,Análisis y Resolución de Problemas,An&#225;lisis y Reso\nProblemas,6,96,7115,
10,4,7142,Circuitos de Información en la Empresa,Circuitos Info\nEmpresa,4,64,7146,
10,4,7146,Ingeniería Económica,Ing Econ&#243;mica,6,96,7113,
10,4,7514,Lenguajes Formales,Lenguajes\nFormales,6,96,6109,
10,4,7516,Lenguajes de Programación,Lenguajes\nProgramaci&#243;n,6,96,7514,
10,4,7526,Simulación,Simulaci&#243;n,6,96,6109,
10,4,7529,Teoría de Algoritmos I,Teor&#237;a\nAlgoritmos I,6,96,"6107,7541",
10,4,7530,Teoría de Algoritmos II,Teor&#237;a\nAlgoritmos II,6,96,7529,
10,4,7531,Teoría de Lenguaje,Teor&#237;a\nLenguaje,4,64,7541,
10,4,7538,Análisis Numérico II A,An&#225;lisis\nNum&#233;rico II,6,96,7552,
10,4,7550,Introducción a los Sistemas Inteligentes,Intro Sis\nInteligentes,6,96,"6109,7114",
10,4,7551,Técnicas de Producción de Software I,T&#233;cnicas Prod\nSoftware I,4,64,"7515,7552",
10,4,7553,Técnicas de Producción de Software II,T&#233;cnicas Prod\nSoftware II,4,64,7551,
10,4,7554,Técnicas de Producción de Software III,T&#233;cnicas Prod\nSoftware III,4,64,"7548,7553",
10,4,7555,Taller de Desarrollo de Proyectos III,Taller Desarrollo\nProyectos III,4,64,"7546,7547,7548",
10,4,7556,Organización de la Implantación y el Mantenimiento,Orga Implantaci&#243;n\ny Mantenimiento,6,96,"7546,7548",
10,4,7557,Modelos de Proceso de Desarrollo,Modelos Proceso\nDesarrollo,4,64,"7546,7548",
10,4,7558,Evaluación de Proyectos y Manejo de Riesgos,Evaluaci&#243;n\nProyectos y Riesgos,4,64,"7546,7548",
10,4,7562,Técnicas de Programación Concurrente II,Programaci&#243;n\nConcurrente II,4,64,7559,
10,4,7563,Sistemas Distribuidos II,Sistemas\nDistribuidos II,4,64,7574,
10,4,7564,Sistemas Multimediales,Sistemas\nMultimediales,4,64,"6674,7574",
10,4,7569,Sistemas Automáticos de Diagnóstico y Detección de Fallas II,Sis Auto de\nDiag y Det Fallas II,6,96,7567,
10,4,7570,Sistemas de Programación no convencional de Robots,Sis Prog no\nConven Robots,6,96,7550,
10,4,7571,Seminario de Ingeniería en Informática I,Seminario I,3,48,7507,
10,4,7572,Seminario de Ingeniería en Informática II,Seminario II,3,48,"7506,7544",
10,4,7573,Arquitectura de Software,Arquitectura\nSoftware,4,64,"7507,7509",
10,4,7801,Idioma Inglés,Idioma\nIngl&#233;s,4,64,CBC,
10,4,7802,Idioma Alemán,Idioma\nAlem&#225;n,4,64,CBC,
10,4,7803,Idioma Francés,Idioma\nFranc&#233;s,4,64,CBC,
10,4,7804,Idioma Italiano,Idioma\nItaliano,4,64,CBC,
10,4,7805,Idioma Portugués,Idioma\nPortugu&#233;s,4,64,CBC,
10,4,7144,Recursos Humanos,Recursos\nHumanos,4,64,,140





